Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Isiah Thomas,27,80,76,36.6,7.1,15.3,0.464,0.4,1.5,0.273,6.7,13.8,0.485,0.477,3.6,4.4,0.818,0.6,2.8,3.4,8.3,1.7,0.3,3.7,2.6,18.2
2,Joe Dumars,25,69,67,34.9,6.6,13.1,0.505,0.2,0.4,0.483,6.4,12.7,0.506,0.513,3.8,4.4,0.85,0.8,1.7,2.5,5.7,0.9,0.1,2.6,1.5,17.2
3,Bill Laimbeer,31,81,81,32.6,5.5,11.1,0.499,0.4,1.1,0.349,5.2,10,0.515,0.516,2.2,2.6,0.84,1.7,7.9,9.6,2.2,0.6,1.2,1.6,3.2,13.7
4,Adrian Dantley,33,42,42,31.9,6.1,11.8,0.521,0,0,,6.1,11.8,0.521,0.521,6.1,7.3,0.839,1.3,2.6,3.9,2.2,0.5,0.1,1.9,2.4,18.4
5,Mark Aguirre,29,36,32,29.7,5.9,12.3,0.483,0.6,2.1,0.293,5.3,10.2,0.522,0.508,3.1,4.1,0.738,1.6,2.6,4.2,2.5,0.4,0.2,1.9,2.8,15.5
6,Dennis Rodman,27,82,8,26.9,3.9,6.5,0.595,0.1,0.3,0.231,3.8,6.2,0.614,0.601,1.2,1.9,0.626,4,5.4,9.4,1.2,0.7,0.9,1.5,3.6,9
7,Vinnie Johnson,32,82,21,25.3,5.6,12.1,0.464,0.2,0.5,0.295,5.5,11.6,0.472,0.47,2.4,3.2,0.734,1.3,1.8,3.1,3,0.9,0.2,1.3,1.9,13.8
8,Rick Mahorn,30,72,61,24.9,2.8,5.5,0.517,0,0,0,2.8,5.4,0.519,0.517,1.6,2.2,0.748,2,4.9,6.9,0.8,0.6,0.9,1.3,2.9,7.3
9,John Salley,24,67,21,21.8,2.5,5,0.498,0,0,0,2.5,4.9,0.502,0.498,2,2.9,0.692,2,3,5,1.1,0.6,1.1,1.5,2.9,7
10,James Edwards,33,76,1,16.5,2.8,5.6,0.5,0,0,0,2.8,5.5,0.502,0.5,1.8,2.6,0.686,0.9,2.1,3,0.6,0.1,0.4,0.9,3,7.3
11,Micheal Williams,22,49,0,7.3,1,2.6,0.364,0,0.2,0.222,0.9,2.4,0.375,0.372,0.6,1,0.66,0.2,0.4,0.6,1.4,0.3,0.1,0.9,0.9,2.6
12,John Long,32,24,0,6.3,0.8,1.7,0.475,0,0,,0.8,1.7,0.475,0.475,0.5,0.5,0.846,0.1,0.4,0.5,0.6,0,0.1,0.4,0.7,2
13,Darryl Dawkins,32,14,0,3.4,0.6,1.4,0.474,0,0,,0.6,1.4,0.474,0.474,0.6,1.3,0.5,0.2,0.3,0.5,0.1,0,0.1,0.3,0.9,1.9
14,Pace Mannion,28,5,0,2.8,0.4,0.4,1,0,0,,0.4,0.4,1,1,0,0,,0,0.6,0.6,0,0.2,0,0,0.6,0.8
15,Fennis Dembo,23,31,0,2.4,0.5,1.4,0.333,0,0.1,0,0.5,1.2,0.368,0.333,0.3,0.3,0.8,0.3,0.5,0.7,0.2,0,0,0.2,0.5,1.2
16,Steve Harris,25,3,0,2.3,0.3,1.3,0.25,0,0,,0.3,1.3,0.25,0.25,0.7,0.7,1,0,0.7,0.7,0,0.3,0,0,0.3,1.3
17,Jim Rowinski,28,6,0,1.3,0,0.3,0,0,0,,0,0.3,0,0,0.7,0.7,1,0,0.3,0.3,0,0,0,0,0,0.7
