Rk,Team,Overall,Home,Road,E,W,A,C,M,P,Pre,Post,≤3,≥10,Nov,Dec,Jan,Feb,Mar,Apr
1,Detroit Pistons,63-19,37-4,26-15,41-15,22-4,21-5,20-10,2-Oct,2-Dec,31-13,32-6,4-Jun,33-10,3-Nov,4-Sep,6-Aug,3-Aug,16-1,2-Nov
2,Cleveland Cavaliers,57-25,37-4,20-21,38-18,19-7,19-7,19-11,2-Oct,5-Sep,35-11,22-14,7-Jun,39-9,3-Aug,13-2,4-Nov,3-Oct,8-Sep,5-Jun
3,Los Angeles Lakers,57-25,35-6,22-19,14-10,43-15,4-Aug,6-Jun,18-6,25-9,32-15,25-10,7-Sep,35-10,3-Oct,7-Sep,3-Nov,4-Jul,4-Nov,4-Sep
4,Phoenix Suns,55-27,35-6,20-21,14-10,41-17,2-Oct,8-Apr,18-6,23-11,29-17,26-10,4-May,33-14,7-Jun,4-Oct,4-Oct,5-Aug,6-Dec,1-Sep
5,Atlanta Hawks,52-30,33-8,19-22,38-18,14-12,18-8,20-10,7-May,5-Sep,28-19,24-11,9-Oct,29-12,6-Aug,3-Nov,7-Jul,4-Sep,8-Jul,2-Oct
6,New York Knicks,52-30,35-6,17-24,36-20,16-10,18-12,18-8,4-Aug,6-Aug,32-16,20-14,7-Aug,27-13,5-Sep,5-Sep,6-Oct,2-Sep,7-Oct,5-May
7,Utah Jazz,51-31,34-7,17-24,14-10,37-21,4-Aug,6-Jun,19-11,18-10,28-20,23-11,7-Jun,36-15,4-Sep,8-Aug,4-Sep,6-Aug,4-Oct,5-Jul
8,Milwaukee Bucks,49-33,31-10,18-23,29-27,20-6,18-8,19-Nov,3-Sep,3-Nov,30-15,19-18,7-Jan,31-15,5-Jun,6-Sep,3-Dec,4-Jul,7-Oct,8-May
9,Chicago Bulls,47-35,30-11,17-24,28-28,19-7,16-10,18-Dec,4-Aug,3-Nov,27-19,20-16,4-Sep,21-16,8-Jun,4-Sep,5-Sep,4-Sep,6-Oct,8-Apr
10,Seattle SuperSonics,47-35,31-10,16-25,14-Oct,37-21,6-Jun,8-Apr,17-7,20-14,28-18,19-17,7-Sep,21-15,7-Jun,5-Aug,3-Dec,6-Jul,11-Jun,3-Aug
11,Philadelphia 76ers,46-36,30-11,16-25,31-25,15-11,19-11,14-Dec,4-Aug,7-Jul,26-20,20-16,5-Sep,23-14,5-Oct,9-May,5-Sep,5-Jun,7-Sep,5-Jul
12,Houston Rockets,45-37,31-10,14-27,12-Dec,33-25,7-May,5-Jul,19-11,14-14,28-18,17-19,10-Sep,22-17,6-Sep,5-Sep,6-Jul,6-Jun,8-Aug,6-Jun
13,Denver Nuggets,44-38,35-6,Sep-32,12-Dec,32-26,5-Jul,7-May,18-12,14-14,25-23,19-15,9-Jul,25-20,4-Sep,7-Aug,11-May,4-Aug,6-Aug,6-Jun
14,Golden State Warriors,43-39,29-12,14-27,14-10,29-29,3-Sep,7-May,14-10,15-19,25-20,18-19,6-May,20-21,7-Jun,7-May,5-Nov,2-Sep,10-Sep,8-Mar
15,Boston Celtics,42-40,32-9,31-Oct,27-29,15-11,19-11,18-Aug,4-Aug,7-Jul,23-23,19-17,7-May,22-19,7-Aug,7-May,8-Jul,7-Jun,4-Nov,7-May
16,Washington Bullets,40-42,30-11,31-Oct,25-31,15-11,17-13,18-Aug,5-Jul,6-Aug,17-28,23-14,5-Aug,23-Dec,7-Apr,11-Apr,6-Aug,7-Jun,6-Nov,5-Jul
17,Portland Trail Blazers,39-43,28-13,30-Nov,15-Sep,30-28,5-Jul,10-Feb,13-11,17-17,25-21,14-22,11-Apr,22-15,7-Jul,4-Sep,8-Jun,7-May,12-May,5-Jul
18,Dallas Mavericks,38-44,24-17,14-27,16-Aug,30-28,6-Jun,10-Feb,19-11,17-Nov,24-21,14-23,9-Jun,17-26,4-Sep,5-Aug,11-Apr,5-Aug,14-Mar,5-Jun
19,Indiana Pacers,28-54,20-21,Aug-33,15-41,13-13,19-Jul,22-Aug,6-Jun,7-Jul,Nov-35,17-19,9-Jun,25-Nov,12-Feb,10-Mar,9-Jun,9-Mar,8-Aug,6-Jun
20,Sacramento Kings,27-55,21-20,Jun-35,20-Apr,23-35,9-Mar,11-Jan,13-Nov,22-Dec,14-32,13-23,6-Jul,13-34,9-Feb,10-Apr,10-Jun,10-Mar,10-Jun,6-Jun
21,New Jersey Nets,26-56,17-24,Sep-32,16-40,16-Oct,21-Sep,19-Jul,8-Apr,8-Jun,18-29,27-Aug,8-Jul,Jul-32,9-Jul,8-May,8-May,10-Apr,13-Mar,8-Feb
22,Los Angeles Clippers,21-61,17-24,Apr-37,20-Apr,17-41,11-Jan,9-Mar,14-Oct,27-Jul,Nov-37,24-Oct,7-Aug,Jun-39,8-Jun,10-Apr,0-14,14-Jan,7-Jun,8-Apr
23,San Antonio Spurs,21-61,18-23,Mar-38,18-Jun,15-43,8-Apr,10-Feb,21-Sep,22-Jun,13-33,28-Aug,6-Feb,14-38,8-May,12-Feb,10-May,12-Jan,10-Jun,9-Feb
24,Charlotte Hornets,20-62,29-Dec,Aug-33,Dec-44,18-Aug,22-Aug,22-Apr,8-Apr,10-Apr,13-35,27-Jul,4-Sep,May-36,10-Mar,9-May,13-Mar,8-Apr,13-Feb,9-Mar
25,Miami Heat,15-67,29-Dec,Mar-38,19-May,Oct-48,9-Mar,10-Feb,24-Jun,24-Apr,May-40,27-Oct,4-Aug,Mar-39,0-12,12-Mar,13-Jan,9-Apr,11-May,10-Feb
